REPORT_NUMBER,PREDICTED_MODE_RAW,confidence,primary_cause,cause_other_detail,infrastructure_type,speed_contributing,speed_contributing_detail,SOURCE_FILE,MODE
87982271,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,driveway_or_parking_lot,yes,"Non-motorist admitted he saw V1 stop and proceeded to hurry fast to cross, indicating speed was a factor.",multilabel_RegBike_cause,Bicycle
89385495,Bicyclist,0.95,non_motorist_ran_stop_sign_or_signal,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24324300,Bicyclist,0.95,wrong_way_riding,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25677767,Other,0.75,insufficient_information,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
89333325,Bicyclist,0.95,driver_failed_to_yield_turning,,driveway_or_parking_lot,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89444242,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88223981,Bicyclist,0.95,insufficient_information,,crosswalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89174323,Bicyclist,0.95,non_motorist_ran_stop_sign_or_signal,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26207543,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88685629,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88367148,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86281930,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89035643,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85013428,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25970480,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87370711,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,driveway_or_parking_lot,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85353833,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87098332,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26866825,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87707338,Bicyclist,0.95,wrong_way_riding,,shoulder,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86575689,Other,0.75,driver_failed_to_yield_turning,,crosswalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
24868893,Bicyclist,0.95,wrong_way_riding,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87239515,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85364667,Other,0.75,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
87084797,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24125545,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25131873,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25570045,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89976444,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24918538,Bicyclist,0.95,insufficient_information,,unknown,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24110405,Other,0.75,sidewalk_driveway_conflict,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
26855297,Bicyclist,0.95,driver_ran_stop_sign_or_red_light,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26336202,Other,0.75,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
86733451,Bicyclist,0.95,non_motorist_ran_stop_sign_or_signal,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24346535,Other,0.75,insufficient_information,,driveway_or_parking_lot,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
88304221,Other,0.75,insufficient_information,,unknown,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
88677258,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25989227,Bicyclist,0.95,driver_ran_stop_sign_or_red_light,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24475806,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24855816,Other,0.75,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
82283804,Bicyclist,0.95,driver_failed_to_yield_turning,,bike_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86001918,Other,0.75,driver_failed_to_yield_turning,,driveway_or_parking_lot,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
88290909,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24404492,Bicyclist,0.95,driver_failed_to_yield_turning,,bike_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89327911,Bicyclist,0.95,hit_and_run,,bike_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26591740,Bicyclist,0.95,driver_failed_to_yield_turning,,bike_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89688478,Other,0.75,non_motorist_ran_stop_sign_or_signal,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
84562173,Bicyclist,0.95,wrong_way_riding,,shoulder,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87794868,Other,0.75,insufficient_information,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
26328168,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,bike_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85162699,Other,0.75,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
87863983,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88367302,Bicyclist,0.95,rear_end_following_too_close,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86542702,Bicyclist,0.95,hit_and_run,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27813768,Other,0.75,sidewalk_driveway_conflict,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
26335334,Bicyclist,0.95,driver_failed_to_yield_turning,,bike_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24314594,Bicyclist,0.95,obstructed_sightline,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24857113,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87693727,Bicyclist,0.95,insufficient_information,,driveway_or_parking_lot,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89743176,Other,0.75,non_motorist_ran_stop_sign_or_signal,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
