REPORT_NUMBER,MODE,SEX,AGE,YEAR,COUNTY_NAME,S4_CRASH_SEVERITY,DAY_NIGHT,LOC_TYPE
26574149,E-Bike,,,2024,St. Lucie,Injury,Day,Segment
26686565,E-Bike,Male,45.0,2026,Orange,Serious Injury,Night,Segment
26187644,E-Bike,Female,32.0,2023,Brevard,Injury,Day,Segment
26264318,E-Scooter,Female,16.0,2024,Miami-Dade,No Injury,Day,Segment
26859180,E-Bike,Male,24.0,2024,Pinellas,Injury,Day,Segment
26215267,E-Scooter,Male,15.0,2024,Clay,Injury,Night,Intersection
26193869,E-Bike,Male,52.0,2024,Palm Beach,Injury,Day,Intersection
26805931,E-Bike,Female,20.0,2025,Leon,Injury,Day,Intersection
26518592,E-Scooter,Male,16.0,2024,Miami-Dade,No Injury,Day,Segment
26852904,E-Scooter,Male,43.0,2024,Broward,Injury,Day,Intersection
26676979,E-Scooter,,,2025,Broward,Injury,Day,Segment
26790009,E-Bike,,,2025,Broward,Injury,Day,Segment
26246326,E-Scooter,,,2024,Alachua,Injury,Day,Intersection
26251445,E-Bike,Male,13.0,2024,St. Johns,Injury,Night,Intersection
26325236,Bicycle,Male,16.0,2024,Sarasota,Injury,Day,Intersection
26790248,E-Scooter,,,2025,Broward,Injury,Night,Segment
26382722,E-Scooter,Female,18.0,2024,Orange,Injury,Day,Intersection
26537306,Bicycle,Female,14.0,2024,Hillsborough,No Injury,Day,Segment
26361198,Bicycle,Male,14.0,2024,Pasco,No Injury,Day,Segment
26562599,E-Bike,Male,49.0,2025,Pinellas,Injury,Day,Segment
26660668,E-Bike,Male,68.0,2024,Collier,Injury,Day,Segment
26825653,E-Bike,Male,24.0,2025,Polk,Injury,Day,Segment
26410536,E-Bike,Male,20.0,2024,Pinellas,No Injury,Day,Intersection
26434931,E-Bike,Female,63.0,2024,Brevard,Serious Injury,Night,Intersection
26848762,E-Bike,Male,15.0,2025,Duval,Injury,Night,Intersection
26741865,E-Bike,Male,26.0,2025,Miami-Dade,Injury,Night,Segment
26779985,E-Scooter,,,2024,Broward,Injury,Day,Segment
26591017,E-Scooter,,,2024,Broward,Injury,Day,Intersection
26752395,E-Scooter,Male,22.0,2024,Palm Beach,Injury,Day,Intersection
26202249,E-Bike,Male,67.0,2024,Volusia,Injury,Day,Segment
26762193,E-Bike,,,2025,Monroe,Serious Injury,Day,Segment
26194780,Bicycle,Female,50.0,2024,Palm Beach,Injury,Day,Segment
26155841,E-Scooter,Female,25.0,2023,Brevard,Injury,Day,Intersection
26289873,Bicycle,Male,15.0,2024,Brevard,Injury,Night,Intersection
26574558,E-Bike,,,2025,St. Lucie,Injury,Day,Segment
26792675,E-Bike,Male,28.0,2024,Lee,Injury,Day,Intersection
26710630,E-Scooter,Male,40.0,2024,Miami-Dade,Injury,Day,Segment
26246450,E-Scooter,,,2024,Alachua,No Injury,Day,Segment
26550210,E-Scooter,Female,19.0,2025,Hillsborough,Serious Injury,Day,Segment
26580037,E-Bike,,,2025,Palm Beach,Injury,Night,Segment
26336561,Bicycle,Male,49.0,2024,Orange,Injury,Day,Segment
26123925,E-Bike,Male,65.0,2024,Volusia,Injury,Day,Intersection
26812842,E-Bike,Male,14.0,2025,Flagler,Injury,Day,Segment
26428786,E-Bike,Female,65.0,2025,Orange,Injury,Day,Segment
26628425,E-Bike,Female,26.0,2025,Seminole,Injury,Day,Segment
26786221,E-Scooter,,,2025,Broward,No Injury,Day,Segment
26662290,E-Bike,Male,33.0,2024,Miami-Dade,Serious Injury,Day,Segment
26491550,E-Bike,Male,19.0,2024,Orange,Injury,Night,Intersection
26382553,E-Bike,Male,35.0,2024,Brevard,Injury,Day,Intersection
26579660,E-Scooter,,,2024,Palm Beach,Injury,Night,Segment
26864881,E-Bike,,,2025,Pinellas,No Injury,Day,Segment
26864881,E-Bike,,,2025,Pinellas,No Injury,Day,Segment
26864881,E-Bike,,,2025,Pinellas,No Injury,Day,Segment
26619021,E-Bike,Male,15.0,2024,Hillsborough,Injury,Day,Segment
26558143,E-Bike,Male,27.0,2024,Pinellas,Serious Injury,Day,Segment
26135461,E-Scooter,Male,34.0,2024,Seminole,Injury,Day,Intersection
26243773,E-Bike,,,2024,Alachua,Injury,Day,Intersection
26596035,Bicycle,,,2024,Palm Beach,Injury,Day,Segment
26468277,E-Scooter,Male,14.0,2025,Bay,Injury,Day,Segment
26366290,Bicycle,Male,50.0,2024,Pinellas,Serious Injury,Night,Segment
26140434,E-Bike,Male,61.0,2024,Broward,Injury,Day,Intersection
26183153,E-Scooter,Male,19.0,2023,Lee,Serious Injury,Day,Intersection
26648661,E-Bike,,,2024,Lee,Injury,Day,Intersection
26187309,E-Bike,Male,14.0,2023,Brevard,Injury,Day,Intersection
26803613,E-Scooter,Male,39.0,2025,Leon,Injury,Day,Intersection
26279769,E-Bike,Male,13.0,2025,Volusia,No Injury,Day,Segment
26279769,E-Bike,Male,12.0,2025,Volusia,No Injury,Day,Segment
26590782,E-Scooter,,,2024,Broward,No Injury,Day,Segment
26501455,E-Bike,,,2024,Monroe,No Injury,Day,Intersection
26748831,E-Scooter,Male,11.0,2024,Palm Beach,No Injury,Day,Intersection
26861323,E-Scooter,Male,40.0,2025,Pinellas,Injury,Day,Intersection
26593776,E-Bike,,,2024,St. Lucie,Injury,Night,Segment
26814168,E-Bike,Male,71.0,2025,Volusia,Injury,Day,Intersection
26410790,E-Bike,Male,26.0,2025,Monroe,Injury,Day,Intersection
26780198,E-Bike,,,2024,Broward,Injury,Day,Intersection
26182911,Bicycle,Male,39.0,2023,Lee,Injury,Night,Segment
26120897,E-Bike,Male,86.0,2024,Volusia,Injury,Day,Segment
26683755,E-Bike,Female,32.0,2025,Manatee,Injury,Day,Segment
26503373,E-Bike,Male,47.0,2024,Sarasota,Injury,Night,Segment
26175473,E-Bike,Female,22.0,2024,Lake,Injury,Night,Intersection
26149080,E-Bike,Male,16.0,2024,Charlotte,Injury,Day,Segment
26646069,E-Bike,Female,18.0,2024,Collier,Injury,Day,Segment
26821850,E-Scooter,Female,16.0,2024,Polk,Injury,Day,Segment
26550867,E-Bike,Male,13.0,2025,Hillsborough,No Injury,Day,Intersection
26569907,E-Bike,,,2024,St. Lucie,Injury,Night,Segment
26849666,E-Scooter,Male,28.0,2025,Duval,Injury,Day,Segment
26366334,Bicycle,Male,11.0,2024,Pinellas,Injury,Day,Intersection
26743324,E-Bike,Female,40.0,2025,Martin,Injury,Day,Segment
26804831,E-Scooter,Male,38.0,2025,Leon,Injury,Day,Intersection
26611507,E-Bike,Male,24.0,2024,Hillsborough,Injury,Day,Segment
26559020,E-Bike,Male,58.0,2024,Pinellas,Injury,Day,Segment
26773352,E-Bike,,,2024,Broward,Injury,Day,Intersection
26136341,E-Scooter,,,2024,Okaloosa,Injury,Day,Segment
26826911,E-Bike,Female,31.0,2024,Duval,Injury,Day,Segment
26822076,E-Bike,Male,46.0,2024,Polk,Injury,Day,Intersection
26811323,E-Bike,Female,40.0,2024,Flagler,Injury,Day,Intersection
26646117,E-Bike,Male,16.0,2024,Collier,No Injury,Night,Segment
26533969,E-Scooter,Male,14.0,2024,Broward,Injury,Day,Segment
26485249,E-Scooter,Female,48.0,2025,Okaloosa,Serious Injury,Day,Intersection
26227201,E-Scooter,,,2024,Miami-Dade,Serious Injury,Night,Intersection
26403677,E-Bike,Male,15.0,2024,Manatee,Injury,Day,Intersection
26159322,E-Bike,Male,34.0,2024,Brevard,No Injury,Day,Segment
26248257,E-Scooter,Male,35.0,2024,Hendry,No Injury,Day,Segment
26817279,E-Bike,Male,55.0,2025,Hernando,Injury,Day,Intersection
26646352,E-Bike,Male,26.0,2024,Indian River,Injury,Day,Segment
26695138,E-Scooter,Male,18.0,2024,Miami-Dade,No Injury,Day,Segment
26457880,E-Scooter,Male,29.0,2024,Monroe,Serious Injury,Day,Segment
26789537,E-Bike,,,2025,Broward,Injury,Night,Segment
26789537,E-Bike,,,2025,Broward,Injury,Night,Segment
26789537,E-Bike,,,2025,Broward,Injury,Night,Segment
26410469,E-Scooter,Male,14.0,2025,Lake,Injury,Day,Segment
26786185,E-Bike,,,2025,Broward,Injury,Night,Segment
26560713,E-Bike,Male,19.0,2024,Pinellas,No Injury,Day,Intersection
26702527,E-Scooter,Female,40.0,2024,Miami-Dade,No Injury,Day,Segment
26723573,E-Bike,Male,49.0,2025,Miami-Dade,Injury,Night,Segment
26511025,E-Scooter,Male,25.0,2024,Miami-Dade,No Injury,Day,Segment
26553072,E-Bike,Female,16.0,2025,Hillsborough,Injury,Day,Segment
26596577,E-Scooter,,,2024,Palm Beach,Serious Injury,Night,Segment
26549998,E-Bike,Male,12.0,2024,Hillsborough,Injury,Day,Intersection
26549998,E-Bike,Male,13.0,2024,Hillsborough,Injury,Day,Intersection
26592289,E-Scooter,,,2025,Broward,Injury,Day,Segment
26191689,E-Scooter,Female,24.0,2023,Palm Beach,Injury,Day,Segment
26529696,E-Scooter,Male,30.0,2025,Miami-Dade,Injury,Day,Segment
26260239,E-Bike,Male,27.0,2024,Miami-Dade,No Injury,Day,Intersection
26775722,E-Scooter,,,2024,Broward,Injury,Night,Segment
26333057,E-Scooter,Male,31.0,2024,Orange,Injury,Day,Intersection
26562894,E-Bike,Male,47.0,2025,Pinellas,Injury,Day,Segment
26332325,E-Bike,Female,57.0,2024,Citrus,Serious Injury,Night,Segment
26791017,E-Bike,,,2025,Broward,Injury,Day,Segment
26702662,E-Scooter,Male,20.0,2024,Miami-Dade,Injury,Night,Segment
26859199,E-Bike,Male,11.0,2024,Pinellas,No Injury,Day,Segment
26530681,E-Scooter,Male,18.0,2024,Pasco,Injury,Day,Segment
26185520,E-Bike,Male,61.0,2024,Lee,Injury,Day,Intersection
26562174,E-Bike,Male,37.0,2025,Pinellas,No Injury,Day,Segment
26509773,E-Scooter,,,2025,Broward,Injury,Day,Intersection
26544883,E-Scooter,Male,36.0,2024,Hillsborough,Injury,Night,Intersection
26659964,E-Scooter,Male,24.0,2025,Miami-Dade,Injury,Night,Intersection
26659964,E-Scooter,Female,18.0,2025,Miami-Dade,Injury,Night,Intersection
26395355,Bicycle,Male,60.0,2024,Manatee,Injury,Day,Segment
26539268,Bicycle,Male,27.0,2024,Hillsborough,Injury,Day,Intersection
26504890,E-Bike,Male,19.0,2024,Sarasota,Injury,Day,Segment
26794599,E-Bike,Male,81.0,2024,Lee,Injury,Day,Intersection
26279764,E-Bike,Male,12.0,2025,Volusia,Injury,Day,Intersection
26556885,E-Bike,Female,38.0,2025,Hillsborough,Injury,Day,Intersection
26346195,E-Scooter,Female,17.0,2024,Osceola,Injury,Day,Intersection
26783834,E-Bike,,,2025,Broward,Injury,Night,Intersection
26792945,E-Bike,Male,47.0,2024,Lee,Injury,Night,Intersection
26205500,E-Scooter,,,2025,Pinellas,No Injury,Day,Segment
26592384,E-Scooter,,,2025,Broward,Injury,Day,Segment
26849954,E-Scooter,Male,16.0,2026,Duval,Injury,Day,Intersection
26203282,E-Bike,,,2024,Pinellas,Injury,Day,Segment
26237268,E-Scooter,Male,16.0,2024,Palm Beach,Injury,Day,Segment
26204170,E-Bike,,,2025,Pinellas,Injury,Day,Segment
26811062,E-Scooter,Female,34.0,2024,Flagler,Injury,Day,Intersection
26463633,E-Scooter,Male,15.0,2024,Pasco,Injury,Day,Segment
26440326,Bicycle,Male,39.0,2025,Alachua,Injury,Day,Segment
26122945,E-Scooter,Male,12.0,2024,Volusia,Injury,Day,Intersection
26603585,E-Scooter,,,2024,Miami-Dade,Injury,Day,Intersection
26603585,E-Scooter,,,2024,Miami-Dade,Injury,Day,Intersection
26172253,E-Scooter,Male,29.0,2023,Hillsborough,Injury,Day,Segment
26696433,E-Scooter,Female,23.0,2024,Miami-Dade,Injury,Day,Segment
26583654,E-Bike,Male,21.0,2024,Lee,Injury,Day,Segment
26477205,Bicycle,Male,47.0,2025,Pinellas,Injury,Day,Segment
26858920,E-Scooter,Female,29.0,2024,Pinellas,Injury,Day,Intersection
26858920,E-Scooter,Male,5.0,2024,Pinellas,Injury,Day,Intersection
26170482,E-Bike,Male,37.0,2023,Monroe,Injury,Day,Intersection
26461277,E-Bike,Male,14.0,2024,Osceola,Injury,Day,Segment
26713758,E-Scooter,Male,33.0,2024,Miami-Dade,Injury,Night,Segment
26633783,E-Scooter,Male,20.0,2026,Pasco,No Injury,Day,Intersection
26750330,E-Scooter,Male,22.0,2024,Palm Beach,Injury,Day,Segment
26308158,Bicycle,Male,63.0,2024,Collier,Injury,Day,Intersection
26859269,E-Bike,Male,41.0,2024,Pinellas,No Injury,Day,Intersection
26680808,E-Bike,Male,43.0,2026,Alachua,No Injury,Day,Segment
26154332,E-Scooter,Female,14.0,2024,Broward,No Injury,Day,Segment
26346949,E-Bike,Male,17.0,2024,Pasco,Injury,Day,Segment
26725746,E-Scooter,Female,25.0,2025,Miami-Dade,Injury,Day,Segment
26862517,E-Scooter,Female,25.0,2025,Pinellas,Injury,Day,Segment
