COUNTY_NAME,Bicycle,E-Bike,E-Scooter
Alachua,94.0,63.0,112.0
Baker,0.0,1.0,1.0
Bay,60.0,43.0,29.0
Bradford,0.0,2.0,0.0
Brevard,170.0,229.0,107.0
Broward,618.0,548.0,841.0
Charlotte,39.0,61.0,11.0
Citrus,23.0,45.0,9.0
Clay,23.0,44.0,28.0
Collier,109.0,189.0,61.0
Columbia,12.0,7.0,10.0
DeSoto,10.0,3.0,1.0
Dixie,1.0,2.0,0.0
Duval,270.0,174.0,95.0
Escambia,90.0,43.0,21.0
Flagler,12.0,39.0,15.0
Franklin,1.0,1.0,0.0
Gadsden,0.0,1.0,0.0
Gulf,1.0,1.0,0.0
Hardee,3.0,3.0,0.0
Hendry,1.0,1.0,3.0
Hernando,36.0,29.0,25.0
Highlands,18.0,10.0,4.0
Hillsborough,435.0,512.0,395.0
Indian River,18.0,47.0,8.0
Jackson,2.0,0.0,0.0
Jefferson,0.0,1.0,0.0
Lafayette,0.0,0.0,1.0
Lake,50.0,53.0,34.0
Lee,161.0,282.0,94.0
Leon,36.0,54.0,90.0
Levy,5.0,3.0,1.0
Liberty,1.0,0.0,0.0
Manatee,185.0,105.0,50.0
Marion,76.0,54.0,28.0
Martin,52.0,68.0,21.0
Miami-Dade,528.0,498.0,1428.0
Monroe,130.0,175.0,38.0
Nassau,12.0,10.0,1.0
Okaloosa,63.0,48.0,29.0
Okeechobee,3.0,9.0,0.0
Orange,390.0,353.0,406.0
Osceola,57.0,69.0,79.0
Palm Beach,334.0,560.0,382.0
Pasco,195.0,130.0,101.0
Pinellas,540.0,728.0,237.0
Polk,99.0,113.0,99.0
Putnam,9.0,6.0,3.0
Santa Rosa,18.0,13.0,5.0
Sarasota,176.0,284.0,78.0
Seminole,100.0,103.0,65.0
St. Johns,87.0,88.0,21.0
St. Lucie,81.0,152.0,68.0
Sumter,15.0,8.0,6.0
Suwannee,4.0,2.0,3.0
Taylor,0.0,2.0,2.0
Union,0.0,1.0,0.0
Volusia,143.0,268.0,121.0
Wakulla,2.0,1.0,0.0
Walton,22.0,14.0,5.0
Washington,0.0,0.0,2.0
