REPORT_NUMBER,CRASH_DT,FARS_LANDUSE,FARS_LANDUSE_CD,FARS_FUNCLASS,FARS_FUNCLASS_CD,FARS_OWNERSHIP,FARS_OWNERSHIP_CD,FARS_NHS,FARS_NHS_CD,ROUTE_SIGNAGE,ROUTE_SIGNAGE_CD,SPEED_LIMIT,S4_GEOLOCATION_CURRENT,S4_GEOLOCATION_REVIEW,S4_GEOLOCATION_UPDATED_DATE,LONGITUDE,LATITUDE,TRAFFIC_IDENTIFIER,STATE_ROAD,US_INTERSTATE,MODE
26323284,5/31/2024 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,50.0,Editor,Preliminary,8/26/2025 2:03:16 PM,27.4546888438753,-81.4226172503481,US HIGHWAY 27 S                     ,,,E-Bike
26538495,2/22/2024 12:00:00 AM,Urban,2.0,Local,7.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Other,8.0,30.0,Editor,Preliminary,6/19/2025 3:39:03 PM,28.0702506686974,-82.4139205003589,N 42ND ST                           ,,,E-Scooter
26298411,3/10/2024 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,30.0,Editor,Preliminary,4/17/2025 10:39:23 AM,28.4623890240118,-82.1962082429884,TRILBY RD                           ,,,Bicycle
26406332,4/17/2026 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,25.0,Editor,Preliminary,6/22/2026 8:01:52 AM,26.2841918115545,-80.2334917146338,NW 81ST AVE                         ,,,E-Scooter
26346773,5/26/2024 12:00:00 AM,Urban,2.0,Local,7.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Lat/long only,Complete,6/3/2026 11:48:07 AM,28.310322242648,-81.6497722403782,UNNAMED RD                          ,,,Bicycle
26195817,3/13/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,County Highway Agency,2.0,On the National Highway System,1.0,Municipality,6.0,45.0,Officer,Complete,5/11/2026 3:23:42 PM,26.5299800228952,-80.0905912393448,N CONGRESS AVE                      ,,,E-Bike
26457099,3/4/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,45.0,Editor,Complete,5/11/2026 4:15:16 PM,28.4509379255931,-81.3821894076413,SAND LAKE RD W                      ,SR 482,,Bicycle
26592084,2/14/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,35.0,Editor,Complete,5/8/2026 10:57:02 AM,25.9858754932965,-80.1367700246615,E HALLANDALE BEACH BLVD             ,SR 858,,E-Scooter
26157923,10/5/2023 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,County Highway Agency,2.0,On the National Highway System,1.0,County Road,4.0,35.0,Editor,Complete,1/13/2025 3:56:44 PM,28.1721700520905,-80.6719450031872,N WICKHAM RD                        ,,,E-Scooter
26542274,6/5/2024 12:00:00 AM,,,,,,,,,,,,Editor,Preliminary,8/7/2024 7:57:54 AM,27.835178072825,-82.3707689248922,SYMMES RD                           ,,,Bicycle
26412219,11/1/2024 12:00:00 AM,,,,,,,,,,,,Editor,Preliminary,4/9/2025 1:33:03 PM,27.4591849688595,-82.53048374164,US-301                              ,,,E-Bike
26407610,9/5/2024 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,5/13/2025 12:55:55 PM,28.440550829464,-81.4035345872141,S ORANGE BLOSSOM TRL                ,,,E-Scooter
26403684,10/12/2024 12:00:00 AM,,,,,,,,,,,,Editor,Preliminary,4/9/2025 1:33:02 PM,27.4246472027669,-82.5754051963001,14TH ST W                           ,,,Bicycle
26416888,9/22/2024 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,55.0,Editor,Complete,12/27/2024 2:18:55 PM,28.1882801686855,-82.3447071324329,SR-56                               ,,,Bicycle
26866512,11/23/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,40.0,Officer,Complete,5/11/2026 4:38:21 PM,27.8076867951612,-82.7001040540982,49TH ST N                           ,CR 611,,E-Bike
26409683,12/27/2024 12:00:00 AM,,,,,,,,,,,,System confident,Preliminary,4/9/2025 1:33:03 PM,27.5649149290559,-82.5650366406582,US-19                               ,,,E-Bike
26729264,4/22/2025 12:00:00 AM,Urban,2.0,Local,7.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,40.0,Editor,Complete,9/29/2025 4:54:35 PM,25.5580891196552,-80.390436405457,BUSWAY                              ,,,E-Scooter
26856221,3/13/2025 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,45.0,Editor,Complete,5/11/2026 4:36:43 PM,26.9103434505754,-80.1066734859226,INDIAN CREEK PKWY                   ,,,E-Bike
26549709,4/7/2025 12:00:00 AM,Urban,2.0,Local,7.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,5/11/2026 4:21:09 PM,27.9085859991624,-82.3566538502562,CAMDEN FIELD PKWY                   ,,,E-Bike
26471625,3/13/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,5/11/2026 3:34:54 PM,27.1241486605679,-80.190869047391,SE FEDERAL HWY                      ,SR 5,US 1,E-Bike
26679551,1/30/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,45.0,Editor,Complete,9/2/2025 4:22:33 PM,26.1487935519545,-80.2569922618598,N UNIVERSITY DR                     ,,,E-Scooter
26477151,12/23/2024 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,11/25/2025 12:14:17 PM,27.8940210014809,-82.6901636419571,ULMERTON RD                         ,SR 686,,Bicycle
26289395,5/7/2024 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,25.0,Editor,Preliminary,5/30/2025 10:14:17 AM,30.3766892727273,-86.3489217497705,EMERALD COAST PKWY                  ,,,Bicycle
26469266,1/18/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,45.0,Editor,Complete,5/11/2026 4:18:37 PM,28.5783580586423,-81.3091336203047,N SEMORAN BLVD                      ,SR 436,,Bicycle
26336324,4/10/2024 12:00:00 AM,,,,,State Highway Agency,1.0,,,US Highway,2.0,45.0,Editor,Preliminary,4/28/2025 12:23:14 PM,27.5846637544606,-81.5145585057476,US HIGHWAY 27 S                     ,SR 25,US 27,Bicycle
26589485,2/3/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,40.0,Officer,Complete,5/11/2026 4:24:01 PM,28.302047828187,-80.7221897171275,MURRELL RD                          ,,,E-Scooter
26541964,5/22/2024 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,45.0,Editor,Preliminary,8/6/2025 10:40:25 AM,27.8247243384765,-82.3004760197692,BALM RIVERVIEW RD                   ,,,E-Bike
