CHARGE,count
CARELESS DRIVING,1025
RAN STOP SIGN/VIOLATION OF RIGHT OF WAY FROM STOP SIGN,305
FAILED TO YIELD RIGHT-OF-WAY TO PEDESTRIAN AT CROSSWALK WITH,215
VIOLATION BICYCLE REGULATIONS,214
FAILED TO YIELD RIGHT-OF-WAY TO PEDESTRIAN,208
PEDESTRIAN FAILED TO YIELD TO TRAFFIC,163
RAN STOP SIGN,138
FAILED TO YIELD/STOP AT SIDEWALK - FROM ALLEY/BLDG. /PRIVATE,123
FAILED TO YIELD RIGHT-OF-WAY TO PEDESTRIAN AT INTERSECTION W,108
PEDESTRIAN CONTROL SIGNAL - PEDESTRIAN FAILED TO OBEY,107
PEDESTRIAN LEAVE PLACE OF SAFETY AND ENTER PATH OF VEHICLE,105
FAILED TO USE DUE CARE TOWARD PEDESTRIAN,94
