MODE,CLUSTER_ID,N_CRASHES,CENTER_LAT,CENTER_LON,N_EARLY_PERIOD,N_LATE_PERIOD,SPLIT_YEAR,GROWTH_RATIO,EMERGING
Bicycle,700,16,26.622918120381065,-82.0105256520057,1,15,2020.0,7.5,True
Bicycle,637,15,28.266773057439483,-82.18836979144129,2,13,2020.0,4.33,True
Bicycle,332,19,26.22650126205589,-80.27043473392425,3,16,2020.0,4.0,True
Bicycle,684,17,28.445161841571657,-81.56099908657772,3,14,2020.0,3.5,True
Bicycle,674,12,30.21025538052775,-85.84883848410948,2,10,2020.0,3.33,True
Bicycle,374,16,28.078729263080287,-80.69394160755931,3,13,2020.0,3.25,True
Bicycle,576,24,28.01607744013819,-82.139976252906,5,19,2020.0,3.17,True
Bicycle,667,15,30.27456245594743,-85.9978665592103,3,12,2020.0,3.0,True
Bicycle,442,40,30.747573944787632,-86.56515587840364,10,30,2020.0,2.73,True
Bicycle,528,21,28.287797875849247,-81.35728007806695,5,16,2020.0,2.67,True
Bicycle,683,10,28.596091899522577,-81.45118325042361,2,8,2020.0,2.67,True
Bicycle,527,24,30.388472026890806,-86.42851457140578,6,18,2020.0,2.57,True
Bicycle,39,34,26.350890905170587,-80.20278480176884,9,25,2020.0,2.5,True
Bicycle,540,34,26.586211854174586,-80.0518591149546,9,25,2020.0,2.5,True
Bicycle,644,16,26.13662049246537,-80.21299518025043,4,12,2020.0,2.4,True
Bicycle,242,19,25.77590484202102,-80.2897138861786,5,14,2020.0,2.33,True
Bicycle,400,39,26.667994001210516,-81.93904692028765,11,28,2020.0,2.33,True
Bicycle,691,22,29.14508084673503,-81.03505548386356,6,16,2020.0,2.29,True
Bicycle,619,15,28.910909634086092,-81.2919883685396,4,11,2020.0,2.2,True
Bicycle,272,34,28.251077831620027,-81.31429229610389,10,24,2020.0,2.18,True
Bicycle,569,18,29.223193742706297,-82.14793434356562,5,13,2020.0,2.17,True
Bicycle,648,33,26.06547796098001,-81.70311179899795,10,23,2020.0,2.09,True
Bicycle,275,20,28.33069335734218,-80.73699082111659,6,14,2020.0,2.0,True
Bicycle,277,20,28.319054362015912,-80.7427427141042,6,14,2020.0,2.0,True
Bicycle,593,20,25.93982049503817,-80.27541415215306,6,14,2020.0,2.0,True
Bicycle,633,20,27.80756728778639,-82.71092781060071,6,14,2020.0,2.0,True
Bicycle,672,14,28.355240020508084,-80.73224363280694,4,10,2020.0,2.0,True
Bicycle,702,11,28.25943270815047,-82.18927976762865,3,8,2020.0,2.0,True
Bicycle,493,51,27.038760499224853,-82.21881452909851,17,34,2020.0,1.89,True
Bicycle,562,22,28.011801973480726,-81.91103892675513,7,15,2020.0,1.88,True
Bicycle,500,19,27.26638602285697,-80.43186181401313,6,13,2020.0,1.86,True
Bicycle,555,19,26.297749213670265,-80.27922407602388,6,13,2020.0,1.86,True
Bicycle,535,16,28.672729909556075,-81.48749695734067,5,11,2020.0,1.83,True
Bicycle,87,30,26.367089702650766,-80.11946326439666,10,20,2020.0,1.82,True
Bicycle,676,13,27.98709555650913,-80.66188140572216,4,9,2020.0,1.8,True
Bicycle,354,23,28.382264387261735,-81.24444623873127,8,15,2020.0,1.67,True
Bicycle,511,15,25.5074424505353,-80.43754073401108,5,10,2020.0,1.67,True
Bicycle,560,15,25.92850193835597,-80.30974285460555,5,10,2020.0,1.67,True
Bicycle,622,15,28.533567712891603,-82.51225441726989,5,10,2020.0,1.67,True
Bicycle,623,23,27.300845210640972,-80.30338344272116,8,15,2020.0,1.67,True
Bicycle,665,15,27.02043655691899,-80.46581187316022,5,10,2020.0,1.67,True
Bicycle,271,28,26.9343790859752,-82.31198658670074,10,18,2020.0,1.64,True
Bicycle,274,36,27.998904028202936,-80.6715729888711,13,23,2020.0,1.64,True
Bicycle,647,28,30.305978724415674,-81.64582452940049,10,18,2020.0,1.64,True
Bicycle,519,20,30.115143924488855,-81.5904484228598,7,13,2020.0,1.62,True
Bicycle,78,38,25.849505036430312,-80.14848274636246,14,24,2020.0,1.6,True
Bicycle,105,25,28.613814119252055,-80.81759142313379,9,16,2020.0,1.6,True
Bicycle,399,25,26.65198209356294,-81.94064784350262,9,16,2020.0,1.6,True
Bicycle,688,12,26.79581239115134,-80.08555350419118,4,8,2020.0,1.6,True
Bicycle,65,17,30.51853535568745,-86.47332879484925,6,11,2020.0,1.57,True
Bicycle,248,58,29.114334601331063,-81.0247580419739,22,36,2020.0,1.57,True
Bicycle,281,22,27.26907675772254,-82.47988679410759,8,14,2020.0,1.56,True
Bicycle,478,22,25.810117515417584,-80.26216786891615,8,14,2020.0,1.56,True
Bicycle,533,63,28.537950753282022,-81.15100561136516,24,39,2020.0,1.56,True
Bicycle,175,32,27.38810179293641,-82.50635840857467,12,20,2020.0,1.54,True
Bicycle,212,52,27.981492169526355,-82.29104296138618,20,32,2020.0,1.52,True
Bicycle,449,29,30.318520007369365,-81.48849251175967,11,18,2020.0,1.5,True
Bicycle,497,19,28.801315634401554,-81.88820666081449,7,12,2020.0,1.5,True
Bicycle,570,29,29.20575726490228,-82.18296359116063,11,18,2020.0,1.5,True
Bicycle,580,19,28.230049927178655,-82.19550203602068,7,12,2020.0,1.5,True
Bicycle,450,36,27.990395580774845,-82.12214739450178,14,22,2020.0,1.47,True
Bicycle,575,26,26.932841983103092,-82.04939044843293,10,16,2020.0,1.45,True
Bicycle,625,26,30.169517578093895,-85.64991143060269,10,16,2020.0,1.45,True
Bicycle,144,21,30.171016386317632,-85.7893395489743,8,13,2020.0,1.44,True
Bicycle,223,21,27.071178265231033,-82.20783804876788,8,13,2020.0,1.44,True
Bicycle,241,43,28.62521009554257,-81.31664105863888,17,26,2020.0,1.44,True
Bicycle,573,21,28.550255455015034,-81.54102310862902,8,13,2020.0,1.44,True
Bicycle,595,21,28.787919585980273,-81.35809864470487,8,13,2020.0,1.44,True
Bicycle,347,33,27.79393210228178,-82.33490356351908,13,20,2020.0,1.43,True
Bicycle,480,16,27.316460747118775,-80.34965594378858,6,10,2020.0,1.43,True
Bicycle,696,16,28.48374583712245,-81.45879696356272,6,10,2020.0,1.43,True
Bicycle,387,74,26.085683897052874,-81.72687952854982,30,44,2020.0,1.42,False
Bicycle,35,52,26.33409515846356,-80.20289042024402,21,31,2020.0,1.41,False
Bicycle,211,37,27.720073625468455,-82.43307447887838,15,22,2020.0,1.38,False
Bicycle,390,18,27.138919090904416,-80.19122654013621,7,11,2020.0,1.38,True
Bicycle,503,37,28.079706715874103,-82.73951457585528,15,22,2020.0,1.38,False
Bicycle,641,18,30.323805657691384,-81.50850183138428,7,11,2020.0,1.38,True
Bicycle,675,18,29.65618385072338,-82.39032263387318,7,11,2020.0,1.38,True
Bicycle,38,186,26.806928504871482,-80.08112206208389,78,108,2020.0,1.37,False
Bicycle,157,63,30.285745683761736,-81.62899337806908,26,37,2020.0,1.37,False
Bicycle,392,32,28.541280097097516,-82.40377565616863,13,19,2020.0,1.36,False
Bicycle,397,51,26.607541113265807,-81.9745227597679,21,30,2020.0,1.36,False
Bicycle,461,25,28.024239312984356,-82.48464606738696,10,15,2020.0,1.36,False
Bicycle,486,32,28.461925939722768,-82.53950643450871,13,19,2020.0,1.36,False
Bicycle,551,32,30.22116792541646,-85.86764210423853,13,19,2020.0,1.36,False
Bicycle,36,48,26.58811012600366,-80.11659437470301,20,28,2020.0,1.33,False
Bicycle,219,20,26.2722652843268,-81.75387872417787,8,12,2020.0,1.33,False
Bicycle,344,41,26.065053562714827,-80.25372935078347,17,24,2020.0,1.33,False
Bicycle,377,27,28.576542314609036,-81.31037396689541,11,16,2020.0,1.33,False
Bicycle,420,27,29.675228754030968,-82.38877006505943,11,16,2020.0,1.33,False
Bicycle,479,27,28.824459142065102,-81.68817107505174,11,16,2020.0,1.33,False
Bicycle,599,20,26.345014249129246,-81.76303840016558,8,12,2020.0,1.33,False
Bicycle,607,20,29.20048236532806,-82.08299032896157,8,12,2020.0,1.33,False
Bicycle,669,20,28.0123583742927,-82.39327211795685,8,12,2020.0,1.33,False
Bicycle,55,205,26.678196409315497,-81.89043526350274,88,117,2020.0,1.31,False
Bicycle,184,59,28.07204163887616,-82.76590186544773,25,34,2020.0,1.31,False
Bicycle,565,29,30.18047122434794,-81.8235781703315,12,17,2020.0,1.31,False
Bicycle,264,22,27.21107763053062,-81.8460420089748,9,13,2020.0,1.3,False
Bicycle,367,22,28.45176971795033,-81.4748385786577,9,13,2020.0,1.3,False
Bicycle,23,102,26.463494981206537,-80.1214956716953,44,58,2020.0,1.29,False
Bicycle,388,63,27.142434580275353,-80.2075321783235,27,36,2020.0,1.29,False
Bicycle,544,15,26.13157707218663,-81.8027383007412,6,9,2020.0,1.29,False
Bicycle,663,15,25.810047054694774,-80.33282939763606,6,9,2020.0,1.29,False
Bicycle,680,15,27.26880690765496,-82.462770742383,6,9,2020.0,1.29,False
Bicycle,123,136,26.186685900957727,-81.69979983983426,59,77,2020.0,1.28,False
Bicycle,232,108,28.690735790256934,-81.32909453290921,47,61,2020.0,1.27,False
Bicycle,441,24,28.034391242540465,-82.64824273770641,10,14,2020.0,1.27,False
Bicycle,534,24,28.067312671987533,-82.74010811744711,10,14,2020.0,1.27,False
Bicycle,558,24,28.17225434015836,-80.6724129020537,10,14,2020.0,1.27,False
Bicycle,69,26,26.57207471419349,-80.09043153129974,11,15,2020.0,1.25,False
Bicycle,564,26,26.528638363352016,-81.87091848240405,11,15,2020.0,1.25,False
Bicycle,604,17,27.525869087593904,-82.73367480322983,7,10,2020.0,1.25,False
Bicycle,608,17,27.893931935646858,-82.33395301033602,7,10,2020.0,1.25,False
Bicycle,651,17,30.320546746061055,-81.45572443588162,7,10,2020.0,1.25,False
Bicycle,303,91,28.664517164765638,-81.41912052403251,40,51,2020.0,1.24,False
Bicycle,261,137,28.035717658427547,-80.61658537310552,61,76,2020.0,1.23,False
Bicycle,484,48,27.04518577108617,-82.24427332087322,21,27,2020.0,1.23,False
Bicycle,45,132,28.145679480504096,-82.7516345804991,59,73,2020.0,1.22,False
Bicycle,205,81,30.1805417108065,-85.79449133891046,36,45,2020.0,1.22,False
Bicycle,221,50,26.151448198906618,-80.18152414957268,22,28,2020.0,1.22,False
Bicycle,373,39,27.85840944045264,-82.3262797686922,17,22,2020.0,1.22,False
Bicycle,618,19,28.538821944580526,-81.47478288900231,8,11,2020.0,1.22,False
Bicycle,682,19,28.061441965123322,-82.70989924086602,8,11,2020.0,1.22,False
Bicycle,7,202,28.554491027386074,-81.58745859169674,91,111,2020.0,1.21,False
Bicycle,48,156,26.340876786270503,-81.77902010580594,70,86,2020.0,1.21,False
Bicycle,251,21,26.463187149641776,-81.82907092449257,9,12,2020.0,1.2,False
Bicycle,269,21,26.96259000212133,-82.07198278116981,9,12,2020.0,1.2,False
Bicycle,368,21,28.612240919722094,-81.43058200227762,9,12,2020.0,1.2,False
